id,cuisine,ingredients,num_of_ingredients
70,italian,"crushed tomatoes, garlic, fresh rosemary, ground black pepper, onions, olive oil, boneless pork loin, kosher salt, pappardelle",9
275,french,"vanilla, milk, large egg yolks, sugar, corn starch",5
699,moroccan,"ground cloves, whole nutmegs, ground ginger, ground coriander, ground cinnamon, ground cardamom, ground black pepper, ground cumin",8
1299,mexican,"flour tortillas, cheese, breakfast sausages, large eggs",4
1420,italian,"italian seasoning, broiler-fryer chicken, mayonaise, zesty italian dressing",4
2646,italian,"pizza crust, plum tomatoes, pesto, part-skim mozzarella cheese",4
2698,italian,"Italian parsley leaves, walnuts, hot red pepper flakes, extra-virgin olive oil, fresh lemon juice, trout fillet, garlic cloves, chipotle chile, fine sea salt, flat leaf parsley",10
2941,thai,"sugar, hot chili, asian fish sauce, lime juice",4
3335,southern_us,"sugar, all-purpose flour, vegetable oil, white cornmeal, baking powder, onions, bacon drippings, buttermilk",8
3535,jamaican,"bread crumbs, unsalted butter, onion powder, curry, low sodium beef broth, pickapeppa sauce, curry powder, bay leaves, garlic, cayenne pepper, cold water, pepper, large eggs, extra-virgin olive oil, yellow onion, allspice, white vinegar, kosher salt, fresh thyme, worcestershire sauce, all-purpose flour, ground beef",22
3735,italian,"sugar, pistachio nuts, white almond bark, flour, vanilla extract, olive oil, almond extract, eggs, baking powder, dried cranberries",10
4499,southern_us,"butter, crab boil, garlic, old bay seasoning, cream cheese, crawfish, salt",7
4715,vietnamese,"sweetened condensed milk, ice, espresso",3
4906,southern_us,"mayonaise, white sugar, ground black pepper, salt, white vinegar, lemon juice",6
5206,irish,"cooking spray, salt, black pepper, yukon gold potatoes, low-fat sour cream, leeks, olive oil, 1% low-fat milk",8
5767,japanese,"sirloin, mirin, yellow onion, low sodium soy sauce, water, corn oil, sugar, green onions, glass noodles, sake, shiitake, napa cabbage",12
5875,italian,"pimentos, sweet pepper, dried oregano, olive oil, garlic, sharp cheddar cheese, pepper, swiss cheese, provolone cheese, canola oil, mushrooms, black olives, sausages",13
6602,jamaican,"plain flour, sugar, butter, eggs, fresh ginger root, salt, ground cinnamon, milk, vanilla extract, ground ginger, powdered sugar, baking powder",12
8152,vietnamese,"soy sauce, vegetable oil, red bell pepper, chicken broth, yellow squash, garlic chili sauce, sliced green onions, broccolini, salt, fresh lime juice, cooked rice, chicken breasts, corn starch",13
8530,korean,"jasmine rice, garlic, scallions, sugar, shiitake, Gochujang base, beansprouts, top round steak, sesame seeds, rice vinegar, carrots, soy sauce, sesame oil, Taiwanese bok choy",14
8820,italian,"sausage casings, ground black pepper, garlic, honey, grated parmesan cheese, shredded mozzarella cheese, kosher salt, roasted red peppers, penne pasta, olive oil, crushed red pepper flakes",11
9058,moroccan,"ground pepper, paprika, ground cardamom, chopped cilantro fresh, preserved lemon, harissa, salt, couscous, tomato paste, cayenne, garlic, fat skimmed chicken broth, ground turmeric, pitted kalamata olives, diced tomatoes, fat, onions",17
9197,chinese,"green bell pepper, egg roll wrappers, sweet and sour sauce, corn starch, molasses, vegetable oil, oil, soy sauce, shredded cabbage, garlic, onions, fresh ginger root, ground pork, carrots",14
